window_id,elapsed_start_s,elapsed_end_s,status,reason,decision_score,anomaly_score,is_anomaly,largest_standardized_change_feature,largest_abs_standardized_change
0,0,2,baseline_reference,ok,,,,,
1,2,4,baseline_reference,ok,,,,,
2,4,6,baseline_reference,ok,,,,,
3,6,8,baseline_reference,ok,,,,,
4,8,10,baseline_reference,ok,,,,,
5,10,12,baseline_reference,ok,,,,,
6,12,14,baseline_reference,ok,,,,,
7,14,16,baseline_reference,ok,,,,,
8,16,18,baseline_reference,ok,,,,,
9,18,20,baseline_reference,ok,,,,,
10,20,22,evaluated,ok,0.03671424486876096,-0.03671424486876096,False,gyro_z_std,2.050576929752967
11,22,24,evaluated,ok,0.004705546685063511,-0.004705546685063511,False,gyro_x_std,2.655120155303764
12,24,26,evaluated,ok,0.0038577143059715935,-0.0038577143059715935,False,optical_mean,2.9942246193571496
13,26,28,evaluated,ok,0.0066167310837042526,-0.0066167310837042526,False,gyro_x_std,2.346503638352964
14,28,30,evaluated,ok,0.054354843910618234,-0.054354843910618234,False,gyro_x_std,0.658587823740318
15,30,32,evaluated,ok,0.008247796084437431,-0.008247796084437431,False,optical_mean,456.1105962845493
16,32,34,evaluated,ok,-0.02332253439679277,0.02332253439679277,True,optical_mean,453.847952293614
17,34,36,evaluated,ok,-0.13162292630650674,0.13162292630650674,True,gyro_x_std,588.798904075604
18,36,38,evaluated,ok,-0.10397599664458568,0.10397599664458568,True,gyro_x_std,1071.4749182651492
19,38,40,evaluated,ok,-0.09927527584089235,0.09927527584089235,True,gyro_x_std,1010.1938016826642
20,40,42,evaluated,ok,0.015695316661449354,-0.015695316661449354,False,gyro_x_std,2.8241605144910484
21,42,44,evaluated,ok,0.04612203608101523,-0.04612203608101523,False,gyro_x_mean,1.0121729706625218
22,44,46,excluded,null_sensor_value,,,,,
23,46,48,evaluated,ok,-0.003783541806847701,0.003783541806847701,True,gyro_x_std,1.6144588250186576
24,48,50,evaluated,ok,0.034696923180960015,-0.034696923180960015,False,gyro_x_mean,1.3030909381962676
25,50,52,excluded,missing_samples,,,,,
26,52,54,evaluated,ok,-0.006790473123231888,0.006790473123231888,True,gyro_x_mean,2.4930378333362135
27,54,56,evaluated,ok,0.049882110368431765,-0.049882110368431765,False,optical_std,1.1054603577607796
28,56,58,evaluated,ok,-0.003609072574994654,0.003609072574994654,True,gyro_y_std,1.7735491268585
29,58,60,evaluated,ok,0.016288290246245063,-0.016288290246245063,False,gyro_x_mean,4.009223677716786
