window_id,elapsed_start_s,elapsed_end_s,sensor,status,reason,decision_score,anomaly_score,is_anomaly
0,0,2,optical,baseline_reference,ok,,,
1,2,4,optical,baseline_reference,ok,,,
2,4,6,optical,baseline_reference,ok,,,
3,6,8,optical,baseline_reference,ok,,,
4,8,10,optical,baseline_reference,ok,,,
5,10,12,optical,baseline_reference,ok,,,
6,12,14,optical,baseline_reference,ok,,,
7,14,16,optical,baseline_reference,ok,,,
8,16,18,optical,baseline_reference,ok,,,
9,18,20,optical,baseline_reference,ok,,,
10,20,22,optical,evaluated,ok,0.05651505960563069,-0.05651505960563069,False
11,22,24,optical,evaluated,ok,0.03655629857915982,-0.03655629857915982,False
12,24,26,optical,evaluated,ok,0.006634905181693684,-0.006634905181693684,False
13,26,28,optical,evaluated,ok,0.034776260977105955,-0.034776260977105955,False
14,28,30,optical,evaluated,ok,0.01567374841637409,-0.01567374841637409,False
15,30,32,optical,evaluated,ok,-0.04986102066258635,0.04986102066258635,True
16,32,34,optical,evaluated,ok,-0.04986102066258635,0.04986102066258635,True
17,34,36,optical,evaluated,ok,-0.04986102066258635,0.04986102066258635,True
18,36,38,optical,evaluated,ok,0.01652991015654809,-0.01652991015654809,False
19,38,40,optical,evaluated,ok,-0.013330319675787683,0.013330319675787683,True
20,40,42,optical,evaluated,ok,-0.002067059729068399,0.002067059729068399,True
21,42,44,optical,evaluated,ok,0.04165499624785235,-0.04165499624785235,False
22,44,46,optical,excluded,null_sensor_value,,,
23,46,48,optical,evaluated,ok,-0.02958603448118058,0.02958603448118058,True
24,48,50,optical,evaluated,ok,-0.0036880712097764334,0.0036880712097764334,True
25,50,52,optical,excluded,missing_samples,,,
26,52,54,optical,evaluated,ok,-0.01224916378376062,0.01224916378376062,True
27,54,56,optical,evaluated,ok,-0.03730092620865122,0.03730092620865122,True
28,56,58,optical,evaluated,ok,0.07426616901178679,-0.07426616901178679,False
29,58,60,optical,evaluated,ok,0.0041427375099269415,-0.0041427375099269415,False
