seq,timestamp_ms,scenario,written_to_sensor_file
1,1000,normal,True
2,1020,normal,True
3,1040,normal,True
4,1060,normal,True
5,1080,normal,True
6,1100,normal,True
7,1120,normal,True
8,1140,normal,True
9,1160,normal,True
10,1180,normal,True
11,1200,normal,True
12,1220,normal,True
13,1240,normal,True
14,1260,normal,True
15,1280,normal,True
16,1300,normal,True
17,1320,normal,True
18,1340,normal,True
19,1360,normal,True
20,1380,normal,True
21,1400,normal,True
22,1420,normal,True
23,1440,normal,True
24,1460,normal,True
25,1480,normal,True
26,1500,normal,True
27,1520,normal,True
28,1540,normal,True
29,1560,normal,True
30,1580,normal,True
31,1600,normal,True
32,1620,normal,True
33,1640,normal,True
34,1660,normal,True
35,1680,normal,True
36,1700,normal,True
37,1720,normal,True
38,1740,normal,True
39,1760,normal,True
40,1780,normal,True
41,1800,normal,True
42,1820,normal,True
43,1840,normal,True
44,1860,normal,True
45,1880,normal,True
46,1900,normal,True
47,1920,normal,True
48,1940,normal,True
49,1960,normal,True
50,1980,normal,True
51,2000,normal,True
52,2020,normal,True
53,2040,normal,True
54,2060,normal,True
55,2080,normal,True
56,2100,normal,True
57,2120,normal,True
58,2140,normal,True
59,2160,normal,True
60,2180,normal,True
61,2200,normal,True
62,2220,normal,True
63,2240,normal,True
64,2260,normal,True
65,2280,normal,True
66,2300,normal,True
67,2320,normal,True
68,2340,normal,True
69,2360,normal,True
70,2380,normal,True
71,2400,normal,True
72,2420,normal,True
73,2440,normal,True
74,2460,normal,True
75,2480,normal,True
76,2500,normal,True
77,2520,normal,True
78,2540,normal,True
79,2560,normal,True
80,2580,normal,True
81,2600,normal,True
82,2620,normal,True
83,2640,normal,True
84,2660,normal,True
85,2680,normal,True
86,2700,normal,True
87,2720,normal,True
88,2740,normal,True
89,2760,normal,True
90,2780,normal,True
91,2800,normal,True
92,2820,normal,True
93,2840,normal,True
94,2860,normal,True
95,2880,normal,True
96,2900,normal,True
97,2920,normal,True
98,2940,normal,True
99,2960,normal,True
100,2980,normal,True
101,3000,normal,True
102,3020,normal,True
103,3040,normal,True
104,3060,normal,True
105,3080,normal,True
