window_id,elapsed_start_s,elapsed_end_s,start_timestamp_ms,end_timestamp_ms_exclusive,expected_count,actual_count,missing_count,null_value_count,invalid_value_count,usable,reason
0,0,2,1000,3000,100,100,0,0,0,True,ok
1,2,4,3000,5000,100,100,0,0,0,True,ok
2,4,6,5000,7000,100,100,0,0,0,True,ok
3,6,8,7000,9000,100,100,0,0,0,True,ok
4,8,10,9000,11000,100,100,0,0,0,True,ok
5,10,12,11000,13000,100,100,0,0,0,True,ok
6,12,14,13000,15000,100,100,0,0,0,True,ok
7,14,16,15000,17000,100,100,0,0,0,True,ok
8,16,18,17000,19000,100,100,0,0,0,True,ok
9,18,20,19000,21000,100,100,0,0,0,True,ok
10,20,22,21000,23000,100,100,0,0,0,True,ok
11,22,24,23000,25000,100,100,0,0,0,True,ok
12,24,26,25000,27000,100,100,0,0,0,True,ok
13,26,28,27000,29000,100,100,0,0,0,True,ok
14,28,30,29000,31000,100,100,0,0,0,True,ok
15,30,32,31000,33000,100,100,0,0,0,True,ok
16,32,34,33000,35000,100,100,0,0,0,True,ok
17,34,36,35000,37000,100,100,0,0,0,True,ok
18,36,38,37000,39000,100,100,0,0,0,True,ok
19,38,40,39000,41000,100,100,0,0,0,True,ok
20,40,42,41000,43000,100,100,0,0,0,True,ok
21,42,44,43000,45000,100,100,0,0,0,True,ok
22,44,46,45000,47000,100,100,0,50,0,False,null_sensor_value
23,46,48,47000,49000,100,100,0,0,0,True,ok
24,48,50,49000,51000,100,100,0,0,0,True,ok
25,50,52,51000,53000,100,90,10,0,0,False,missing_samples
26,52,54,53000,55000,100,100,0,0,0,True,ok
27,54,56,55000,57000,100,100,0,0,0,True,ok
28,56,58,57000,59000,100,100,0,0,0,True,ok
29,58,60,59000,61000,100,100,0,0,0,True,ok
